question,WikiLength
105189,33101
6887,11634
6890,24479
105195,16234
105196,3955
6895,13488
6896,39246
105201,17396
105206,17358
6909,20532
104917,18098
105216,34952
105217,36295
6916,28000
105222,70138
6922,20896
6923,69236
105230,17207
105232,95884
105234,28000
6931,13488
110382,21712
105238,67430
6936,46245
105242,12041
105245,51387
105248,5525
105249,17357
6946,9472
105252,20455
105253,41015
6951,10932
105259,38550
6956,11634
6957,4697
6958,2294
6960,27831
110387,28697
105271,15630
105272,17347
6969,0
105276,36297
6974,14055
6975,19776
105280,72054
6977,18667
6979,28000
104929,36034
105289,48009
105296,16331
105299,71018
105308,44415
105310,9850
7007,46245
105314,15587
7011,12923
105316,26868
7014,13488
7015,53383
7017,27831
7018,35323
7019,60137
7021,10089
7022,76727
7023,11548
105332,40484
7033,27831
105338,11758
7035,16998
7038,2294
105343,39341
105348,27360
105350,28000
105351,16178
7048,15677
105356,36297
105357,70769
105359,17396
7056,18448
105363,24407
105366,0
105368,0
105369,81996
7066,11634
105371,47284
7069,76727
7071,28000
105376,25080
7074,28000
7077,5144
105384,2921
7083,16998
7084,10932
7086,15677
105392,51249
105396,13229
7093,4697
105402,22602
105404,36181
7102,24479
6645,28000
7105,5469
105410,19127
105414,23003
7111,2418
105420,4859
7119,6249
7124,20532
7125,35323
7126,19855
7127,60137
7129,53383
105436,12073
7133,8110
7134,16998
105440,23757
7138,20532
7139,63664
105444,71018
105445,79515
105446,45457
105447,27827
104956,35323
7150,5017
7159,34407
7160,53383
7161,20896
7163,39246
105469,51387
7166,15459
7168,46245
7169,19045
105477,30243
105478,57895
105479,24696
7176,24479
7178,15677
7179,4697
7180,19484
7183,5469
12120,6057
7186,10932
105492,24920
7189,46245
7192,11634
7193,3955
105499,17944
105503,14000
7209,2294
104967,18977
7212,0
7213,33491
7217,7226
7218,15459
7223,17357
7224,26204
7226,11634
12127,19647
7230,15677
7231,9877
7232,53383
7234,13488
7237,5144
7239,39246
105544,54786
105545,45457
105546,26946
105547,48009
105548,37065
105550,20432
105551,11625
105552,52796
12131,30016
105556,59088
7254,46245
7256,2418
7257,69236
7260,27831
7261,12923
105567,73440
105571,4438
7269,15064
7270,9572
7271,28000
7275,60137
105580,61478
104978,5240
7278,22035
7281,2953
104979,66134
105588,4301
105590,25465
105591,17562
105593,21810
105596,60137
12138,12021
7299,7226
7300,26204
7302,16998
7303,20896
7308,17777
7309,9572
7310,19776
7313,9472
7315,39246
12142,10029
105622,28000
105624,40984
105625,18463
105626,46265
7324,19855
105629,50827
105630,40411
7327,4697
105632,30262
12144,6057
105635,70769
7332,13488
7333,17526
105638,82821
105641,36070
105643,67087
12146,4603
105646,6057
105649,21747
7348,28000
7349,19776
105657,33857
7354,14059
105662,28000
105665,14101
105666,16692
105669,24831
105671,16158
105673,30603
105678,6593
7376,25757
105686,34819
105691,15501
105692,8163
105698,0
105701,23416
105704,14108
12156,43369
105706,49054
105707,78186
7405,20767
105710,15697
105711,48682
12159,12021
105725,12111
105726,36297
105728,24029
105729,16234
105732,10280
105004,3159
7434,28697
7435,35951
105740,16492
7437,35951
105745,25239
12163,13745
7444,35951
105006,16775
12164,21504
7450,19618
105757,29939
105760,13526
105761,69541
7458,42476
105765,33497
105766,16619
105768,0
105769,28000
12167,42458
105010,95884
105776,57543
105777,22318
105778,49439
105011,12741
7478,26627
105787,32491
105792,17777
12172,130943
7498,11902
7499,19026
7501,27705
7502,26697
12173,26180
105810,20123
105812,18098
105017,31782
105819,19511
105821,17790
7522,25757
7523,12041
7524,49439
105830,28000
105831,28000
7528,48682
7529,66134
7535,26180
105846,44904
7543,67809
105849,17718
105850,14587
7550,52796
105855,51764
105856,10997
6720,10704
105858,33766
105861,12565
105865,75995
105868,16387
6723,21699
105876,51548
105882,70181
105029,22073
105888,26860
105890,35715
105892,35490
105897,76226
105900,23677
105901,20158
105902,15987
6731,20455
105925,84962
105928,8953
105929,28000
105936,13982
7633,23357
105939,17545
105942,36012
12196,10029
105947,12692
105948,12665
105949,15810
7646,5540
105951,93745
105956,23022
105957,10631
105959,12041
105965,51787
7663,8294
105968,31641
12200,20963
105972,12647
105976,35782
105992,26390
105997,51952
12205,19647
106001,30433
106002,38665
106003,119270
106007,48870
7717,32566
106028,22496
106030,12923
106034,70472
105054,52319
106043,28000
106044,20774
106048,44577
106056,5423
106060,13303
106065,75339
106067,28000
106072,38426
106076,118099
106079,22059
106080,29763
106083,21856
106084,41973
106090,20532
106095,14843
106097,11043
106101,50579
103917,28000
106108,34546
106111,59941
106114,39229
106116,28000
12225,81996
106128,25465
106129,36034
106133,28000
7839,11548
106146,57351
106148,52723
106158,18939
7856,18461
106165,13982
7864,73488
106173,40484
106192,67693
7893,28000
106198,21905
106202,0
106203,18805
106205,35703
106206,28000
106207,11855
106208,24226
106213,35251
106220,36538
106221,70769
106222,76226
105085,28000
106226,18555
106227,28000
106228,75167
106234,28000
106235,7104
106239,35490
106245,9812
106246,31552
106252,13854
106253,28000
106254,82761
106257,15551
106258,66961
7955,28000
106261,52943
106263,58008
106266,41015
7963,17718
106268,20432
106270,30243
106272,23357
106275,34481
7972,34895
7975,4851
106281,18977
106282,11634
106285,30780
12253,16492
106289,1232
106290,38280
106293,17300
106295,19258
7992,17738
106298,24273
106301,18295
106303,36849
106304,10596
8003,32850
8004,42554
8007,17738
106315,30926
106316,36294
106318,11413
106319,72969
106320,0
106321,19776
106323,2492
8020,34895
106325,0
8023,22891
106328,12041
106333,10725
106334,20896
106335,57457
8032,17738
106341,36294
8042,28000
106347,18176
106348,48674
106349,66563
106350,50919
106351,10973
8048,17738
106354,33749
106356,29627
8053,22891
106359,43220
106360,22538
106361,30123
8061,43819
106366,19127
106368,28000
106370,11263
6806,53383
8072,51249
8075,21326
106380,9529
8081,4851
106386,17397
106387,17790
106388,16775
8085,52030
8086,18098
106392,41015
106394,83505
8091,28000
106396,13536
6810,8163
8094,0
106399,33766
106401,19213
8098,30180
8100,22891
106405,28000
8102,28000
8104,18098
8105,22891
106410,28000
8109,43819
106415,72024
106418,24479
8115,28000
8119,20898
106425,43249
8122,30180
106427,57895
106430,40757
106431,39341
106433,35782
106435,13645
8132,51249
106437,77473
8134,28000
8135,0
106441,54668
8140,21326
106449,14324
106453,20767
8150,21326
106455,1388
106456,26170
8154,59088
106460,34895
106466,28000
8164,25594
106476,19855
106479,14390
106480,22499
106481,14995
106483,30016
8180,30243
106485,28000
105129,25612
106488,70138
106491,27360
106494,51787
106497,0
106500,36764
8197,1388
106502,54484
8199,21154
8205,7480
106510,18509
106514,21659
106515,51249
8212,13075
8216,10997
8219,34834
8221,20522
106526,46974
8224,29844
105136,30543
8228,49054
106533,3955
106534,20898
106543,5051
106545,24407
106548,48963
106549,29627
106553,18854
106555,65793
106556,25594
106557,13488
8256,53676
106561,20432
110479,36538
8261,18977
106566,43700
106567,51049
8264,10678
110604,20123
106572,9641
8270,11127
8273,35339
106584,81010
106586,11456
8283,7001
106593,12767
106594,58294
8291,53676
106597,27629
106600,49054
106606,28393
106608,22538
8309,21747
106616,41435
106618,25239
8315,11127
106621,10457
106622,45861
8319,34834
8320,11043
106631,13982
106632,9850
8330,20522
106636,38111
106637,32566
8335,14671
105155,39455
8341,25594
106648,7104
8346,16632
8352,11043
8354,5981
106661,77473
8361,11127
8362,11043
8368,48870
8372,35339
105161,84962
8376,21747
106683,32105
106689,27872
8386,13976
8387,21238
8390,11899
106698,22891
8395,21238
106700,17396
8399,9544
8400,48870
8401,5981
8402,25612
106707,21856
105166,18375
106710,10672
106711,15126
8409,10997
106716,5792
12325,22617
106722,12574
8420,48870
8422,14671
8424,35715
8425,34834
8428,21747
106736,4874
106738,63170
106746,4526
106748,2953
106749,16158
106750,26231
8450,29844
8453,14671
8455,20522
8457,11043
8466,18506
106772,70138
8472,40411
106779,5525
8476,14108
105178,76030
8480,11899
8482,7001
106788,923
8486,6800
8487,10678
106792,32978
106797,20824
106801,24160
8498,13075
106806,74200
106810,8688
106811,21586
8510,35715
106815,28000
106818,16998
8515,21154
8516,49054
106822,30180
106827,73648
8530,25594
8531,30243
106837,48432
8534,30243
8537,72321
106843,36181
8543,49054
8548,35339
106853,52143
8551,53676
8552,13075
106859,31705
106860,48009
106863,44946
8560,9544
8562,49054
8566,46974
106871,44577
106872,11097
106874,12384
8571,21154
8572,11625
106881,13467
8578,1388
6891,20896
106884,11413
106888,6185
8588,18506
106893,4155
106895,25736
8594,7480
8601,5981
8602,14671
106909,28568
8606,29844
8610,18506
8614,16632
106920,15064
8617,21345
8620,14108
8621,35339
106929,39455
106930,44415
106932,11127
106934,36070
8634,24630
106940,10360
8638,13075
8644,21154
106949,8163
106950,28000
8651,21154
8656,21345
8660,7001
8666,20522
106975,0
8673,18506
106978,119270
106982,8110
106984,6391
8682,35339
8686,1388
106992,58622
106993,17230
106994,39246
8699,30603
8701,40411
107009,26170
107011,16331
107012,16215
8709,29844
8711,13075
110679,9626
8719,46974
107025,27831
107029,15573
107031,7907
107033,14059
8731,21345
8738,13075
107043,14674
8740,14108
107050,12643
107051,9316
107053,47109
107055,39229
8760,35339
107069,14403
8767,13822
105227,81996
8780,12249
8781,21747
8783,14108
107088,5240
8786,21154
8787,25594
107094,11824
107098,4301
8795,49054
8796,40411
8801,9544
8803,11127
107109,5423
107111,36070
8810,30603
12391,20518
107119,15368
107126,28000
107134,14285
6933,26170
107137,46943
107139,20544
107140,19223
107141,28000
8843,20522
107148,0
107151,10457
107155,69236
8852,18506
8859,53676
8861,40575
8862,25594
8864,24630
8867,49054
8868,18977
8870,35339
8871,40411
8873,5981
107179,28000
107180,7635
8878,11127
107184,2953
8881,46974
8887,21154
8889,72321
8890,18506
107198,23022
8896,13075
107202,6168
107205,28000
107207,15740
8904,29644
107211,63170
8908,11856
8913,17562
8923,17755
8927,15551
107232,22538
8932,17755
8933,48835
107238,40217
8939,8303
107244,24773
107246,9529
8943,43430
107248,24915
107249,11115
8947,10295
107252,30261
107253,28000
107257,15740
8958,11856
8960,42476
8961,10263
107267,34834
8964,9850
107269,32105
8967,23519
107273,25465
107274,72024
8971,13726
107281,10126
8980,35490
105262,51764
107286,23183
107287,12647
107289,20767
107290,36921
8987,9850
107292,33742
110725,25757
107296,52796
8993,10295
107299,17944
8996,29644
107301,41491
8998,52943
107305,34455
107307,1991
107308,18226
107311,29134
107314,10222
9012,7792
9014,7336
107320,19258
107321,15501
9021,22602
107327,14108
9025,42836
9027,52943
9029,9544
9030,25004
9031,33481
107336,16159
107338,20158
107339,17755
107340,80539
107342,44904
107344,10997
107345,42348
9043,14485
107350,21472
107353,28000
107355,15697
107359,10263
9056,13303
9057,9300
9059,10295
107364,12249
9062,10725
107367,25757
6972,17357
9066,21276
9068,5069
9069,10725
107374,52138
107375,66112
107378,17562
9076,9300
107384,36181
9082,8303
9084,27629
9086,23519
107391,36294
107392,76030
107393,21905
9091,0
9094,14101
9095,17562
107400,39226
9098,14671
9100,48835
107405,12665
9103,27156
9104,29787
107409,14368
107411,7001
107412,69353
107415,12565
9112,10725
9113,17703
9114,10263
9115,8303
9116,11513
9117,29644
9118,13726
107423,10428
9120,10295
9123,7792
9125,0
107431,14766
9131,12574
107439,51364
9138,8303
107445,12073
107447,7220
9144,11543
9145,17562
107450,30657
9147,14124
107452,16158
9154,17755
107460,0
9161,10596
9164,3462
107469,41973
107471,42554
9169,14124
9170,7336
9171,2752
107476,12808
107478,66563
9181,8459
9182,1187
107487,4469
107488,11084
107489,16619
107490,56623
9188,52943
107495,38550
9194,4936
9195,3462
107500,49375
9198,4469
9200,29644
107505,38665
107508,24920
107510,15610
9208,5069
9209,12334
107515,28000
9212,10725
9213,8303
9214,13303
9216,8303
9217,17703
9219,13726
9220,5315
9221,17562
107530,1288
9227,7792
9230,44946
9233,15194
9234,7792
9235,13303
107542,34546
107549,0
107554,40575
107555,9572
12465,11097
9256,9300
9262,5981
9269,39689
9271,8303
9275,10295
9276,12639
9278,13193
12469,22499
9280,16409
9281,14101
9284,52943
107589,11723
9286,10222
9287,14101
9288,14485
9289,4469
9290,35490
9294,21712
9295,11543
9296,13193
107601,11575
9298,27629
9299,44946
9301,10596
9306,6800
9307,44904
9309,43430
9310,11543
9312,17562
9313,42836
107618,10263
107619,38311
107621,41087
9319,9850
9320,10263
9322,29787
105319,11711
9324,7336
9325,39689
107631,23313
107633,12692
107635,0
9339,12574
107644,8344
9341,43430
107646,23183
9343,22602
9344,22776
105323,12282
9349,4526
9352,52943
9354,27629
9357,11543
9358,14101
107663,10007
9360,48835
9361,0
9362,10725
9363,27156
9364,7336
9366,8303
107671,5467
107672,19213
105327,41435
9373,42836
107679,25736
9377,17207
9381,7792
107687,33742
107688,95884
107689,12763
9386,0
107691,4469
107692,41491
107696,9458
9394,7942
9396,13303
107701,39781
9400,16409
107706,21016
107707,12090
9404,39341
9405,39689
9409,27629
9410,11543
9411,48835
107716,9044
9413,9850
9414,8303
107719,5069
9418,10263
9419,11856
9421,10222
9423,10295
9426,1187
9427,51063
9428,7336
9429,13303
107736,15017
9435,10263
9436,7336
9439,25004
9441,27629
9442,42476
107747,0
9444,17790
9445,51063
9447,14485
9451,39689
107757,14124
107758,39246
107760,11989
107762,66112
9461,0
107767,40564
107769,907
107771,12647
107774,46265
9471,0
107776,14671
107782,28000
9484,44904
9485,26472
9486,51063
9487,10725
9488,28000
107793,651
107796,36070
12505,25239
9496,13726
9497,8303
9499,17790
9502,9300
9504,33481
107809,35782
9508,26472
9509,43430
9511,14124
107816,29520
9515,41078
9517,13726
9519,52943
9521,10263
9523,17755
107828,48050
107830,28000
9527,20505
9532,25004
9533,43430
9534,10222
9535,14124
107843,39134
107846,8904
9546,12336
9548,12336
12514,28000
107854,11723
9551,12336
107859,15064
107861,47472
107862,9893
107864,40217
107867,20896
107868,36295
107869,30603
107872,51698
107879,48674
107881,28000
12519,28000
107886,12565
107888,50185
107890,35323
107895,16280
107898,44904
107902,62704
107906,3843
12523,8688
107909,13726
107910,51764
107914,50919
9611,69236
107918,14843
107919,34991
107920,44840
107923,18555
107925,0
9624,5051
107929,22163
107930,34112
12527,22499
107938,45770
107942,10725
107943,0
9643,10007
107953,27831
107954,29939
107955,19511
107958,66563
107959,28000
107960,1187
9660,5051
107965,18939
107968,21112
107970,32700
107972,64109
107978,19484
9675,10007
9677,30262
107984,23358
107989,14485
107991,35703
9691,30261
105381,35174
108005,33742
108008,28000
108010,21586
108011,31854
108012,17357
108016,55494
108019,28000
108027,11456
9724,28857
108031,32392
9728,23183
9733,21112
105388,21747
9739,27827
9741,27827
108047,43249
9745,23478
9746,24811
108051,119270
108052,18098
9750,12282
108055,9812
108060,6150
9758,40484
108063,12647
9760,27827
9761,40217
110854,5017
9767,40484
108074,5069
9772,28857
9775,15701
108082,52030
9781,37504
108086,29763
108087,7226
108088,43369
108089,15551
108092,14324
9790,28101
108097,28000
108098,14837
9796,30261
9799,37504
108110,15740
9807,5718
108112,39513
108113,9782
108118,10263
9817,0
108133,53383
9833,28000
9834,40217
108142,32933
108147,48024
108148,28000
105406,51952
108156,16456
12565,34407
9857,15701
108162,43662
105409,17546
108172,1991
9870,28101
108176,25239
108179,7094
110533,28544
9883,0
108188,9368
9898,27827
108203,62838
9900,21112
108206,30887
108210,26946
108214,19653
9915,28000
9917,23183
108223,34112
9929,28284
9932,28000
108238,22038
108239,21297
108243,28000
108245,22539
108246,16775
9944,49439
108252,11456
108254,30123
9954,27827
108259,9472
108261,28000
9959,24811
9960,0
12583,13743
9965,27827
9967,28101
9969,0
9971,37504
9972,30261
108283,14674
108284,9961
108286,82761
9985,12282
9987,27827
9989,41087
9993,23478
108304,24831
108305,4301
10002,40983
108307,58622
108308,7220
10007,15701
108312,14059
10010,30261
108316,26204
108317,24091
10014,23183
10017,47214
10018,41087
10020,30261
10029,28284
108335,17169
108336,41491
10035,28101
10040,28000
108345,10492
10042,23478
108347,0
10045,5718
108351,28000
10052,15701
108359,20896
108364,47768
108370,16331
10070,40217
108377,85235
10076,12282
108381,4697
108383,18667
108389,28000
10086,28000
10090,24811
108402,50419
108404,8356
108406,40898
108408,20643
108411,27831
10109,12118
108414,0
108416,3955
10113,21276
108424,54838
108425,28000
108428,11676
108432,77512
10129,42554
108436,28000
10133,38111
108438,7104
10135,11804
110916,51879
10138,22776
10141,12334
110917,4438
108449,0
108453,31608
108454,57543
10151,15126
108456,48024
108457,0
10157,28000
10158,12118
10160,17944
108472,39455
108473,17755
10171,28000
108480,34952
10181,26089
10183,15204
10184,27872
10185,17675
108490,51527
108491,28000
10192,28000
108497,16178
10194,45285
10195,30780
10198,48674
108505,13854
108513,28000
108517,17358
108519,40984
108522,70138
108525,23183
108526,28000
108527,50919
10225,15630
108533,3993
10230,7942
10231,12118
10232,29787
10233,15551
10236,2752
105472,0
108546,53733
10243,24568
10244,23358
110934,6168
10246,7942
10247,12384
108555,42836
108558,3292
10258,36538
10262,31705
108569,47052
108570,39781
10267,23358
10270,45285
108576,30657
108578,23757
108579,67809
108584,35323
108587,9300
10284,31705
10288,16149
108593,62704
10293,36538
10294,4936
108599,9812
108601,34402
10299,43662
10300,30926
108606,38550
10303,17207
10305,45285
10306,23416
108611,44946
10308,36538
10309,44904
108614,50579
10312,0
108617,36849
108620,1232
108621,44050
10319,18509
108625,10678
108626,32566
108627,66961
108628,18805
10325,29787
10328,6130
108633,12262
108635,12763
108636,41087
108637,19045
10334,18387
108639,39134
10337,31705
10342,27872
10346,15551
10347,28000
10349,17207
10351,12692
10352,23358
12648,28000
10356,23416
10360,27864
108665,23519
108666,66437
108668,57457
10365,12384
105493,22073
10368,4936
108674,57895
108676,70769
108678,50185
10376,5530
108681,23677
10378,17207
10379,18509
108685,36070
10382,22862
108688,42856
10387,31608
108692,32029
10389,6130
108694,43369
105497,14324
10392,29787
10394,42554
108700,12249
10400,18509
108705,26799
10406,30111
108714,22163
10411,12692
10414,0
10415,28000
108720,10490
10417,15551
10418,12384
12659,30434
10420,30926
10421,48674
108726,14674
10423,23358
10424,12336
10426,15204
10428,36538
108735,30111
10435,10725
108744,12574
10441,22862
10442,18509
10443,0
108755,28000
10452,19511
108757,10704
110969,65793
10457,30180
108762,37124
10459,13193
10463,12118
108770,27809
108771,45916
10469,18387
108774,16875
108775,44577
12668,48583
108778,28000
10475,15204
10476,43662
108782,36898
108783,39246
108784,11097
10483,30926
10486,17718
10488,28000
10490,28000
10491,21712
10493,5530
10494,12384
108799,18511
10498,8459
108805,28000
108806,33695
10503,15204
10504,32491
10505,15630
108811,18509
108812,66112
10509,20774
10511,23358
108819,8904
108820,33849
108823,48024
10520,58294
10521,15204
10522,30111
10525,18509
10527,10596
10528,48674
10529,36538
10530,17207
10533,21276
10534,12334
10536,23416
10539,29787
108844,26575
10541,38111
108849,13381
10546,8249
108852,2862
108854,8764
10554,5530
10557,27872
10561,32491
10563,15630
108868,8294
10565,48674
10567,44840
10569,27864
108875,51698
108876,30584
10574,17718
108879,12808
10576,12388
10578,12388
10579,11804
108884,7220
10582,8439
10585,0
108890,20532
108894,13193
10591,27872
108896,24773
10593,17718
108899,4819
108902,9437
10601,12384
10602,22776
10607,2752
10610,45285
10611,28000
10613,11804
10617,30926
10619,19511
108924,12741
10622,26089
10625,31641
108297,17943
10629,12334
108936,15810
108938,6080
10635,23358
10636,20774
10638,28852
10640,17675
10641,19511
10643,29787
10644,12384
10645,17718
10648,21276
10649,0
10650,15204
10652,12692
10653,8439
10654,29787
108959,23313
108962,55454
108963,12111
108968,36849
10665,23358
108970,0
108972,23022
108973,19776
10671,43662
108976,28000
108977,14485
108983,72969
10683,43662
10684,27864
10685,12692
10687,44840
10689,48674
10690,30780
108995,28000
10693,30433
108999,17545
109001,9859
10698,52723
109004,22445
10705,30926
109011,28000
10708,63594
10709,8249
10713,21712
10714,36538
10716,28000
10718,18387
10719,15204
10720,28000
109026,6150
109027,52943
109029,18939
10726,11804
10727,7942
109032,62704
109035,19855
109036,31608
10735,9529
10737,38426
109044,7094
7252,14896
11269,28371
10752,19618
10756,12041
109061,17230
10760,11902
10763,130943
109068,8249
10765,12041
10767,26075
10769,31939
10770,12041
109075,42458
10772,0
109078,9368
10777,20466
109082,22808
109083,18295
109086,54114
109089,72054
109092,52319
109093,6185
109095,22496
10792,25757
109097,26170
10795,31939
109101,43220
109103,15143
10800,12041
10807,30016
109113,49240
109114,7001
10811,19618
10812,26075
109117,11413
109118,19647
109121,39689
109123,4819
12726,8688
109126,21954
109128,28000
10834,25757
10835,33101
109140,76678
10837,12041
109148,18246
10845,30016
10846,26075
109153,60692
10850,26180
10851,20466
109156,47284
105574,12767
10856,21504
109163,30926
10860,8904
10861,0
10865,130943
109170,33891
10867,32105
109173,41087
109175,21856
10872,20466
109177,84962
109178,17738
10876,21504
109181,0
10885,25757
10890,0
10894,25757
109199,37393
10896,32978
10901,18165
109209,2921
10911,28697
10913,32978
109220,7411
109225,17300
109226,33766
109228,6735
10926,15930
109232,11555
10930,32978
109236,12282
109237,56623
109241,51582
109242,48674
109243,51057
109246,25586
10943,22538
10945,32105
10946,18165
109252,54114
10950,18165
109255,30780
10954,62203
10955,17347
109262,40217
10962,17347
109267,4859
10968,17347
10970,66134
10971,14684
109279,43700
109280,77473
10977,19258
10978,32105
109285,75565
109287,17677
109289,2862
109292,28000
109295,17357
109297,13673
109298,12608
109299,14324
109300,45457
109303,14766
109304,58294
109306,7480
109308,10843
11005,4292
109310,66961
109313,22064
109315,22602
109318,22719
109321,24568
109322,16153
11020,22538
11023,66437
11024,34952
109329,21066
11026,38665
11027,22538
109333,77512
109336,12111
109340,24630
11040,22538
11042,66437
11044,17347
109350,30780
109351,28000
11048,52796
11049,12665
109354,35339
109358,5469
109359,17459
109363,62070
109365,8899
109366,17544
109367,22163
11067,50756
11068,47472
109374,12647
109375,9877
109378,28000
109380,28000
109382,15930
109385,27856
109386,53676
109390,17770
109394,14671
11091,74200
109399,11625
11096,28371
109401,7001
11103,70138
105617,54114
11117,70472
109425,26472
105619,22776
12777,14837
109432,44840
109433,49054
11131,27043
11132,62954
7317,12923
109446,10090
109452,70181
11153,40274
109458,0
109462,28000
11159,58724
109464,15697
11162,76030
109467,14108
109470,44453
109474,19064
109479,13726
109481,57680
109491,13976
11188,21586
109494,43662
109495,2294
109496,19236
109498,13743
11198,74432
109503,15319
109504,38426
109506,23313
11205,12741
11209,10240
11213,12741
11222,62704
109527,20455
11226,27043
105637,28000
11233,50756
109540,51787
109541,32029
109543,32978
109547,23003
109549,16215
109552,19855
11249,17912
109554,0
109568,48674
109569,18667
109570,9033
109573,18506
109579,14674
11276,55494
109584,34112
11282,27043
109587,28000
109588,28000
109601,36849
11301,9812
11302,51698
109615,57855
109616,22064
109621,28371
109623,18176
109624,18464
109627,3693
109629,39689
109638,51879
109641,0
109643,12495
109644,9316
111117,17943
109650,28000
11348,12262
109653,9529
11352,32461
109657,43651
109658,28000
109659,33984
11356,58724
11358,62954
11363,69541
109677,51049
11374,13645
109680,79515
11377,12741
109684,26860
11382,70472
109690,39781
11398,10240
109706,30584
109709,69328
11406,15410
109711,9134
109716,51527
11417,27043
109722,76030
11419,65965
109730,13673
12827,13743
109736,22163
11434,82821
109740,119270
109748,28000
109756,36181
11458,57855
109764,43452
11462,62954
109772,52181
109773,923
11472,58724
109780,28000
109785,28000
109789,73648
11490,50756
109795,39513
109796,31552
11493,70138
109811,50737
11510,65509
11515,62954
109820,41087
11525,13645
11527,58724
109832,54838
109836,27156
109837,5144
109842,32392
11539,66134
111150,27705
11542,0
109847,28000
109848,48963
109849,29134
11546,41593
109851,29627
109855,58724
11553,42856
11554,40984
11555,57457
109860,50827
11560,30413
11562,34952
109867,28000
11564,5792
11568,25586
11569,72024
109874,11899
11571,76678
11572,21066
109877,22566
11574,37243
11576,14684
11577,15810
109882,14055
11579,22445
11580,37393
109885,12923
11583,0
11584,42856
109893,62070
109894,33892
109896,83505
109900,18854
11597,28000
109904,11625
11601,22445
109909,19841
109912,9578
11609,11115
11610,58867
109915,58294
109916,29763
11613,38426
11614,41593
11616,66134
109921,17230
11618,67430
11620,42348
109927,28000
11628,58867
109933,14766
11631,11115
109940,0
109941,27705
11638,76678
11639,51387
109944,14485
11641,16128
11642,16374
11643,48009
109950,6249
11649,24915
109954,51582
11651,35782
11652,12487
109957,10784
11657,57680
11658,72024
11660,12487
109967,18295
11664,24273
11668,11664
11670,25586
109975,38280
11674,16374
11675,19618
109980,48009
109981,6291
109983,36324
11680,6181
11681,0
11682,15930
11685,16128
109990,33101
11687,57543
11689,15810
11690,30543
11691,12388
11692,11115
109998,62256
109999,44946
11699,0
110004,4292
11701,5792
110006,44597
11705,11902
11706,57457
11707,57543
11709,40984
11713,33101
110020,17207
11722,57457
110027,11575
110028,10263
110029,25080
11728,22035
11729,51387
11730,41593
11732,22808
11733,22445
11740,37243
11741,38550
11743,61500
11744,51387
110049,73648
110050,14124
11747,57680
110053,41973
11753,57457
11754,70181
11755,20158
11757,28000
11759,35042
12883,28000
11764,58867
11765,48009
11766,40984
11768,22445
11769,20158
11771,1922
11774,34952
11776,15810
110083,4000
11781,25586
11783,28000
11784,67430
11786,7542
11789,11115
11791,57680
110096,7336
11795,69353
11796,51387
11797,61500
11799,42856
110108,7373
11805,26575
110114,52943
11813,58867
11816,14584
11820,67430
11821,67693
11824,21542
11826,7542
11829,44415
11834,35042
11836,69353
11839,0
11850,30413
11852,11036
11853,44415
11854,35042
105741,13673
110161,20898
110164,22035
11862,0
11864,72024
11867,51387
11868,12487
11870,48009
11872,50827
11873,57680
11875,38550
11883,70181
11884,30413
11891,57543
11894,62256
11900,41593
11901,34952
11902,44415
11903,66961
11905,42856
11906,10089
11907,50827
11908,61500
110214,70472
11911,37243
11912,31782
11913,42348
11916,5792
11917,34952
11920,6181
11923,38550
11924,67430
11929,7542
11930,11664
105754,28000
11937,38550
11938,25586
11939,35042
11942,37393
11943,5792
11944,15534
11946,67693
11948,67430
11950,10089
11951,38550
11952,7542
11953,15810
11956,66961
110261,51048
11958,57457
11959,28000
11960,11115
11961,62256
11962,44415
11963,10089
11965,25196
11968,16374
11969,35042
110275,27859
110278,20774
110280,6249
11977,42348
110284,9671
11981,0
110286,14101
11983,57543
11984,20158
110289,48055
110290,50712
110291,33742
110293,17169
11990,41593
11991,48009
11993,5792
110299,14843
110300,57680
110305,19484
12002,11664
110307,26170
110308,58724
110309,23358
12011,41593
12012,57680
12013,11115
12014,67693
12015,48009
12016,50827
12018,24273
110323,32029
110324,2818
12021,66961
12022,31782
110327,24568
110330,42348
12027,76678
110333,14587
110334,33339
12031,37393
12035,35042
12036,28000
12037,0
110342,27345
12039,16374
12043,15930
110349,10263
110350,34153
12047,0
110352,40411
12053,16374
12055,33892
12056,69353
12059,58867
110364,2862
12061,13243
110366,37504
12063,13745
12064,10029
12065,38059
12066,42458
110371,58865
12068,7104
110374,28000
12071,20963
12072,10672
110377,22617
12074,13745
12075,20963
12078,40984
110383,51879
110384,28000
12082,38059
12083,19647
12086,43369
111241,78186
12089,35951
12090,38059
110395,27629
12092,13745
110403,29787
12101,16692
12105,13745
110410,28000
110411,13673
110412,15368
110413,29763
12110,43369
12113,7104
110418,77473
12115,12021
12116,42458
110422,26204
12119,57543
110424,28000
110427,23478
110431,20862
110435,21472
110437,67809
12136,27809
12137,8904
110442,18295
110446,0
110447,6391
110448,20384
110449,28000
110450,51787
12148,16692
12150,38059
110455,34546
110457,19855
105153,52943
12407,28000
110460,75403
12158,13243
110463,6150
12161,12021
110466,11543
110467,39246
110468,41015
110471,17777
110476,36295
110477,26335
12174,19647
12175,10672
110480,69541
110481,15587
110482,48780
110483,10523
110484,74200
12181,24915
110487,11902
12187,18511
110492,13854
12192,10672
110497,92493
12195,4603
110500,35907
12197,10029
